 
supLen	L1_rho	L1_u	L1e	L2_rho	L2_u	L2e	Linf_rho	Linf_u	Linf_e	L1_rho3	L1_u3	L1e3	L2_rho3	L2_u3	L2e3	Linf_rho3	Linf_u3	Linf_e3	L1_rho2	L1_u2	L1e2	L2_rho2	L2_u2	L2e2	Linf_rho2	Linf_u2	Linf_e2
0.0050	2.93E-003	6.68E-003	2.96E-003	8.44E-003	2.95E-002	1.25E-002	9.13E-002	5.37E-001	1.53E-001	1.78E-003	2.75E-003	1.08E-003	2.00E-003	4.12E-003	1.28E-003	5.20E-003	1.54E-002	3.91E-003	4.09E-004	1.98E-003	9.41E-004	9.32E-004	4.09E-003	2.65E-003	4.16E-003	3.16E-002	1.98E-002
0.0100	3.64E-003	9.44E-003	5.33E-003	9.23E-003	4.00E-002	2.23E-002	7.15E-002	5.39E-001	3.27E-001	1.94E-003	3.33E-003	1.06E-003	2.43E-003	5.86E-003	1.51E-003	7.00E-003	2.10E-002	4.84E-003	6.39E-004	2.75E-003	2.01E-003	1.15E-003	5.41E-003	4.13E-003	4.15E-003	3.18E-002	2.02E-002
0.0150	4.53E-003	1.20E-002	7.43E-003	1.08E-002	4.61E-002	2.74E-002	7.98E-002	4.69E-001	3.27E-001	2.21E-003	4.27E-003	1.24E-003	3.01E-003	7.74E-003	1.97E-003	8.39E-003	2.49E-002	5.81E-003	1.03E-003	3.67E-003	2.91E-003	1.55E-003	6.86E-003	5.09E-003	4.13E-003	3.17E-002	1.96E-002
0.0200	5.40E-003	1.51E-002	9.51E-003	1.19E-002	5.62E-002	3.14E-002	7.05E-002	5.48E-001	3.27E-001	2.44E-003	5.36E-003	1.53E-003	3.56E-003	9.41E-003	2.45E-003	9.57E-003	2.77E-002	6.66E-003	1.52E-003	4.83E-003	3.99E-003	1.95E-003	8.58E-003	6.14E-003	4.47E-003	3.36E-002	1.96E-002
0.0250	6.41E-003	1.80E-002	1.16E-002	1.33E-002	6.16E-002	3.51E-002	7.26E-002	5.30E-001	3.27E-001	2.78E-003	6.73E-003	2.11E-003	4.19E-003	1.11E-002	3.00E-003	1.05E-002	3.03E-002	7.39E-003	2.08E-003	6.21E-003	4.94E-003	2.40E-003	1.03E-002	7.01E-003	4.68E-003	3.45E-002	1.94E-002
