pert 	L1_rho	L1_u	L1e	L2_rho	L2_u	L2e	Linf_rho	Linf_u	Linf_e	L1_rho3	L1_u3	L1e3	L2_rho3	L2_u3	L2e3	Linf_rho3	Linf_u3	Linf_e3	L1_rho2	L1_u2	L1e2	L2_rho2	L2_u2	L2e2	Linf_rho2	Linf_u2	Linf_e2
																											
0.00		6.63E-003	1.84E-002	1.16E-002	1.34E-002	6.26E-002	3.50E-002	6.73E-002	5.42E-001	3.28E-001	3.46E-003	6.94E-003	2.44E-003	4.95E-003	1.18E-002	3.47E-003	1.13E-002	3.23E-002	7.79E-003	2.68E-003	6.64E-003	5.40E-003	2.98E-003	1.10E-002	7.50E-003	5.41E-003	3.70E-002	1.98E-002
5.00E-002	6.80E-003	1.88E-002	1.11E-002	1.43E-002	6.21E-002	3.16E-002	8.87E-002	5.39E-001	2.58E-001	3.55E-003	6.59E-003	2.45E-003	4.96E-003	1.16E-002	3.34E-003	1.06E-002	3.13E-002	6.75E-003	2.41E-003	5.94E-003	5.43E-003	2.76E-003	9.94E-003	7.66E-003	5.22E-003	3.42E-002	2.02E-002
1.00E-001	7.07E-003	1.91E-002	1.07E-002	1.53E-002	6.26E-002	2.70E-002	1.08E-001	5.46E-001	1.53E-001	3.47E-003	6.33E-003	2.45E-003	4.94E-003	1.11E-002	3.35E-003	1.06E-002	2.94E-002	6.68E-003	2.53E-003	5.97E-003	5.65E-003	2.85E-003	1.03E-002	7.81E-003	5.23E-003	3.58E-002	2.07E-002
1.50E-001	7.03E-003	1.92E-002	1.08E-002	1.51E-002	6.32E-002	2.69E-002	1.06E-001	5.53E-001	1.56E-001	3.20E-003	6.02E-003	2.60E-003	4.36E-003	9.02E-003	3.52E-003	9.26E-003	2.31E-002	7.30E-003	2.59E-003	5.94E-003	6.02E-003	2.94E-003	9.89E-003	8.07E-003	5.48E-003	3.34E-002	2.00E-002
2.00E-001	7.22E-003	1.95E-002	1.15E-002	1.51E-002	6.51E-002	2.85E-002	9.92E-002	5.69E-001	1.91E-001	3.30E-003	6.65E-003	2.95E-003	4.70E-003	9.90E-003	3.56E-003	1.01E-002	2.61E-002	6.95E-003	2.67E-003	6.07E-003	6.54E-003	3.02E-003	1.02E-002	8.57E-003	5.82E-003	3.48E-002	2.15E-002
2.50E-001	7.70E-003	2.02E-002	1.17E-002	1.56E-002	6.47E-002	2.75E-002	1.03E-001	5.60E-001	1.60E-001	3.87E-003	7.60E-003	2.86E-003	5.15E-003	1.18E-002	3.55E-003	1.15E-002	3.15E-002	6.71E-003	2.77E-003	6.21E-003	6.97E-003	3.16E-003	1.04E-002	8.97E-003	5.90E-003	3.53E-002	2.06E-002
3.00E-001	7.80E-003	1.97E-002	1.18E-002	1.56E-002	6.31E-002	2.76E-002	1.03E-001	5.49E-001	1.64E-001	4.00E-003	6.60E-003	2.88E-003	5.26E-003	9.51E-003	3.53E-003	1.05E-002	2.27E-002	7.12E-003	3.09E-003	6.72E-003	7.12E-003	3.47E-003	1.11E-002	9.36E-003	6.41E-003	3.73E-002	2.42E-002
 
