 
norm errors with resolution

 N_x  |  L1  |  L2  |  L_oo

40    0.00354611  0.0149888   0.0669123
50    0.00234886  0.0112439   0.0561615
80    0.000836516 0.00361564  0.0193039
100   0.000454268 0.00169416  0.00870807
160   0.00013177  0.000582432 0.00350278
200   5.05281e-05 0.00020507  0.00115492
