 
supLen	L1_rho	L1_u	L1e	L2_rho	L2_u	L2e	Linf_rho	Linf_u	Linf_e	L1_rho3	L1_u3	L1e3	L2_rho3	L2_u3	L2e3	Linf_rho3	Linf_u3	Linf_e3	L1_rho2	L1_u2	L1e2	L2_rho2	L2_u2	L2e2	Linf_rho2	Linf_u2	Linf_e2
0.0150	2.30E-002	5.85E-002	3.42E-002	4.54E-002	1.40E-001	8.71E-002	1.67E-001	9.68E-001	4.55E-001	7.66E-002	1.12E-001	5.27E-002	8.48E-002	1.26E-001	5.67E-002	1.15E-001	2.00E-001	8.73E-002	1.03E-002	6.04E-002	3.01E-002	1.59E-002	8.30E-002	3.92E-002	7.30E-002	3.58E-001	1.62E-001
0.0200	7.92E-003	2.13E-002	1.14E-002	1.55E-002	5.60E-002	3.03E-002	8.22E-002	4.16E-001	2.70E-001	1.26E-002	1.60E-002	9.38E-003	1.29E-002	1.80E-002	1.06E-002	1.82E-002	3.31E-002	2.69E-002	2.04E-003	1.30E-002	6.52E-003	2.47E-003	1.55E-002	7.71E-003	5.90E-003	4.23E-002	2.24E-002
0.0250	6.41E-003	1.80E-002	1.16E-002	1.33E-002	6.16E-002	3.51E-002	7.26E-002	5.30E-001	3.27E-001	2.78E-003	6.73E-003	2.11E-003	4.19E-003	1.11E-002	3.00E-003	1.05E-002	3.03E-002	7.39E-003	2.08E-003	6.21E-003	4.94E-003	2.40E-003	1.03E-002	7.01E-003	4.68E-003	3.45E-002	1.94E-002
0.0300	7.75E-003	2.24E-002	1.43E-002	1.52E-002	7.43E-002	3.96E-002	6.96E-002	6.14E-001	3.50E-001	8.06E-003	1.28E-002	5.84E-003	9.28E-003	1.79E-002	6.51E-003	1.80E-002	4.74E-002	1.25E-002	2.35E-003	7.90E-003	7.70E-003	2.64E-003	1.12E-002	9.89E-003	4.26E-003	3.18E-002	2.15E-002
0.0350	8.99E-003	2.65E-002	1.49E-002	1.67E-002	8.19E-002	3.50E-002	8.06E-002	6.39E-001	2.31E-001	5.24E-003	1.14E-002	4.58E-003	6.20E-003	1.39E-002	4.99E-003	1.16E-002	2.75E-002	8.27E-003	4.09E-003	1.28E-002	8.71E-003	4.39E-003	1.65E-002	1.07E-002	6.14E-003	3.71E-002	2.45E-002
0.0400	1.03E-002	3.26E-002	1.67E-002	1.83E-002	9.61E-002	3.91E-002	8.50E-002	7.02E-001	2.57E-001	3.84E-003	1.02E-002	2.84E-003	5.01E-003	1.52E-002	3.46E-003	9.80E-003	3.27E-002	7.23E-003	6.63E-003	2.34E-002	9.86E-003	7.15E-003	2.85E-002	1.05E-002	1.06E-002	5.93E-002	1.88E-002
0.0450	1.16E-002	3.65E-002	1.85E-002	1.95E-002	9.71E-002	4.15E-002	8.58E-002	6.79E-001	2.77E-001	6.52E-003	1.20E-002	5.25E-003	8.32E-003	1.68E-002	5.79E-003	1.41E-002	4.04E-002	9.16E-003	7.17E-003	2.82E-002	1.27E-002	8.09E-003	3.56E-002	1.37E-002	1.34E-002	7.22E-002	1.92E-002
