 
supLen	L1_rho	L1_u	L1e	L2_rho	L2_u	L2e	Linf_rho	Linf_u	Linf_e	L1_rho3	L1_u3	L1e3	L2_rho3	L2_u3	L2e3	Linf_rho3	Linf_u3	Linf_e3	L1_rho2	L1_u2	L1e2	L2_rho2	L2_u2	L2e2	Linf_rho2	Linf_u2	Linf_e2
0.0200	1.23E-002	5.18E-002	2.53E-002	2.36E-002	1.65E-001	5.85E-002	1.20E-001	1.02E+000	3.47E-001	6.43E-003	2.58E-002	4.40E-003	7.50E-003	2.66E-002	5.32E-003	1.62E-002	4.21E-002	1.09E-002	4.21E-003	3.81E-002	7.18E-002	4.63E-003	3.84E-002	7.26E-002	6.74E-003	4.53E-002	8.02E-002
0.0250	6.88E-003	2.06E-002	1.15E-002	1.36E-002	7.34E-002	4.01E-002	6.41E-002	6.82E-001	3.72E-001	6.61E-003	1.83E-002	5.51E-003	6.97E-003	1.90E-002	5.69E-003	1.13E-002	3.04E-002	8.11E-003	9.71E-004	1.15E-002	9.99E-003	1.18E-003	1.21E-002	1.10E-002	2.54E-003	1.87E-002	1.75E-002
0.0300	7.84E-003	1.57E-002	1.14E-002	1.47E-002	4.76E-002	4.07E-002	6.62E-002	3.58E-001	3.96E-001	6.84E-003	1.13E-002	5.10E-003	8.30E-003	1.75E-002	6.00E-003	1.67E-002	4.60E-002	1.19E-002	2.34E-003	6.80E-003	8.95E-003	2.53E-003	1.04E-002	1.17E-002	4.09E-003	3.17E-002	2.42E-002
0.0350	9.07E-003	2.12E-002	1.32E-002	1.61E-002	7.38E-002	4.43E-002	7.62E-002	6.86E-001	4.10E-001	7.80E-003	1.52E-002	6.49E-003	8.55E-003	1.78E-002	6.82E-003	1.44E-002	3.49E-002	1.04E-002	3.66E-003	1.10E-002	9.31E-003	3.87E-003	1.34E-002	1.17E-002	5.05E-003	3.22E-002	2.48E-002
0.0400	9.75E-003	2.19E-002	1.20E-002	1.80E-002	6.92E-002	3.00E-002	1.02E-001	6.32E-001	1.93E-001	4.30E-003	1.17E-002	2.88E-003	5.20E-003	1.68E-002	3.66E-003	8.86E-003	3.25E-002	6.83E-003	5.07E-003	2.19E-002	1.22E-002	5.57E-003	2.85E-002	1.32E-002	8.31E-003	6.39E-002	2.17E-002
0.0450	1.12E-002	2.57E-002	1.34E-002	1.95E-002	7.52E-002	3.19E-002	1.02E-001	6.57E-001	2.00E-001	6.13E-003	1.01E-002	4.88E-003	8.01E-003	1.48E-002	5.59E-003	1.45E-002	3.45E-002	1.04E-002	6.15E-003	2.90E-002	1.47E-002	7.15E-003	4.04E-002	1.56E-002	1.21E-002	8.59E-002	2.11E-002
